Parent Skel, Concatenation Offset, Imbedded Skel, Concatenated Offset,Line Number, Optional, No File Tailoring, Extended
CMN$$PBL,1,CMN$$SPR,1,173,,,NOEXT
CMN$$PCP,1,SKSCCILD,1,46,,,NOEXT
CMN$$PCP,1,SKM$$XLB,1,67,,,NOEXT
CMN$$PCP,1,SCMGNMTA,1,92,,,NOEXT
CMN$$PCP,1,CMN$$SPR,1,122,,,NOEXT
CMN$$PDB,1,CMN$$SYC,1,91,,,NOEXT
CMN$$PDB,1,SKSCKDBR,1,138,,,NOEXT
CMN$$PDB,1,SKSCSBPP,1,143,,,NOEXT
CMN$$PDB,1,SKDBPGEN,1,221,,,NOEXT
CMN$$PLI,1,SKM$$IDL,1,12,,,NOEXT
CMN$$PLI,1,CMN$$SYC,1,80,,,NOEXT
CMN$$PLI,1,SKM$$XPP,1,96,,,NOEXT
CMN$$PLK,1,CMN$$OBL,1,15,,,NOEXT
CMN$$PLP,1,CMN$$SPR,1,36,,,NOEXT
CMN$$PMT,1,CMN$$ENQ,1,29,,,NOEXT
CMN$$PND,1,SKM$$VAR,1,17,,,NOEXT
CMN$$PND,1,SKM$$VAR,1,27,,,NOEXT
CMN$$PRM,2,CMN$$PSQ,2,10,,,NOEXT
CMN$$PRM,2,CMN$$PRB,2,16,,,NOEXT
CMN$$PRM,2,CMN$$PRO,2,26,,,NOEXT
CMN$$PRM,2,CMN$$PRO,2,30,,,NOEXT
CMN$$PRM,2,CMN$$PRO,2,35,,,NOEXT
CMN$$PRM,2,CMN$$CLN,1,44,,,NOEXT
CMN$$PRM,2,CMN$$DEL,1,58,,,NOEXT
CMN$$PRM,2,CMN$$DEL,1,63,,,NOEXT
CMN$$PRM,2,CMN$$DEL,1,68,,,NOEXT
CMN$$PRM,2,CMN$$PRB,2,75,,,NOEXT
CMN$$PRM,2,CMN$$PST,2,83,,,NOEXT
CMN$$PRM,2,CMN00,1,89,,,NOEXT
CMN$$PRM,2,CMN99,1,145,,,NOEXT
CMN$$PRM,2,CMN$$PCP,1,156,,,NOEXT
CMN$$PRM,2,CMNRPMDL,1,160,,,NOEXT
CMN$$PRO,2,CMN$$ENQ,1,9,,,NOEXT
CMN$$PRS,1,CMN$$JCD,1,1,,,NOEXT
CMN$$RAL,1,SKM$$XLB,1,346,,,NOEXT
CMN$$RAU,1,SKM$$JLB,1,41,,,NOEXT
CMN$$RAU,1,SKSRLSBL,1,51,,,NOEXT
CMN$$RAU,1,CMN$$SPR,1,78,,,NOEXT
CMN$$RAU,1,SKSRLSBL,1,147,,,NOEXT
CMN$$RAU,1,CMN$$RAL,1,151,,,NOEXT
CMN$$RAU,1,EROCTRLM,1,157,,,NOEXT
CMN$$RBD,2,CMN00,1,24,,,NOEXT
CMN$$RBD,2,CMN$$PCP,1,27,,,NOEXT
CMN$$RBD,2,CMN$$SPR,1,46,,,NOEXT
CMN$$RGN,2,CMN$$SPR,1,15,,,NOEXT
CMN$$RPJ,1,SKM$$JLB,1,30,,,NOEXT
CMN$$RPJ,1,SKIRMLIB,1,35,,,NOEXT
CMN$$RPL,1,SKM$$JLB,1,24,,,NOEXT
CMN$$RPM,2,CMN$$BDT,2,35,,,NOEXT
CMN$$RPM,2,CMN$$NDM,1,127,,,NOEXT
CMN$$RPM,2,CMN$$ENQ,1,144,,,NOEXT
CMN$$RPM,2,CMN$$XCD,2,205,,,NOEXT
CMN$$RPM,2,CMN$$FTP,2,235,,,NOEXT
CMN$$RPM,2,CMN$$FTP,2,258,,,NOEXT
CMN$$RPM,2,CMN$$FTP,2,280,,,NOEXT
CMN$$RPM,2,CMN$$NET,2,334,,,NOEXT
CMN$$RPM,2,CMN$$SNM,1,380,,,NOEXT
CMN$$RPM,2,CMN$$RPJ,1,381,,,NOEXT
CMN$$RPM,2,CMNRPMCR,1,416,,,NOEXT
CMN$$RPM,2,CMN$$SNM,1,421,,,NOEXT
CMN$$RPM,2,CMN$$JCD,1,422,,,NOEXT
CMN$$RPM,2,CMNRPMB0,1,423,,,NOEXT
CMN$$RPM,2,CMN$$SNM,1,428,,,NOEXT
CMN$$RPM,2,CMN$$JCD,1,429,,,NOEXT
CMN$$RPM,2,CMNRPMB9,1,430,,,NOEXT
CMN$$RPR,1,SKM$$JLB,1,24,,,NOEXT
CMN$$RPT,1,CMN$$JCD,1,1,,,NOEXT
CMN$$RPT,1,SKM$$XLB,1,11,,,NOEXT
CMN$$RPT,1,CMN$$SPR,1,13,,,NOEXT
CMN$$SJN,1,SKMAPPLV,1,13,,,NOEXT
CMN$$SJN,1,SKM$$JLB,1,31,,,NOEXT
CMN$$SJN,1,SKIPIKET,1,32,,,NOEXT
CMN$$SJN,1,CAS$$IMO,1,36,,,NOEXT
CMN$$SQP,2,CMN$$SYC,1,15,,,NOEXT
CMN$$SSV,2,CMNSRVC,1,10,,,NOEXT
CMN$$VAR,1,SKM$$VAR,1,244,,,NOEXT
CMN$$VAR,1,LE3PARMS,1,249,,,NOEXT
CMN$$VAR,1,SKSPARMS,1,252,,,NOEXT
CMN$$WRT,1,SKSCMPAR,1,94,,,NOEXT
CMN$$WRT,1,CMN$$SPR,1,104,,,NOEXT
CMN$$WRT,1,CMN$$SYC,1,124,,,NOEXT
CMN$$X10,2,CMN$$XCD,2,7,,,NOEXT
CMN$$X11,2,CMN$$XCD,2,5,,,NOEXT
CMN$$X15,2,CMN$$XCP,2,5,,,NOEXT
CMN$$X19,2,CMN$$XCP,2,5,,,NOEXT
CMN$$X25,2,CMN$$XCP,2,5,,,NOEXT
CMN$$X29,2,CMN$$XCP,2,5,,,NOEXT
CMN$$X35,2,CMN$$XCP,2,5,,,NOEXT
CMN$$X39,2,CMN$$XCP,2,5,,,NOEXT
CMN$$X54,2,CMN$$XCP,2,5,,,NOEXT
