Skeleton,Program,Line Number
CMN11,IEBCOPY,160
CMN11,IKJEFT1A,368
CMN15,SY7660,21
CMN20,IEBGENER,28
CMN20,IEBCOPY,47
CMN20,IEBCOPY,81
CMN20,CMNDELRN,111
CMN20I,IEBCOPY,66
CMN20I,SERCOPY,69
CMN20I,IEBCOPY,135
CMN20I,SERCOPY,138
CMN20I,CMNDELRN,295
CMN20I,IEBCOPY,340
CMN20I,CMNDELRN,367
CMN20I,SY7660,526
CMN20I,IEBGENER,532
CMN20I,ES0010,583
CMN20I,SY7060,635
CMN20I,IEFBR14,641
CMN20I,SY7660,672
CMN20T,IEBCOPY,25
CMN20T,CMNDELRN,53
CMN20T,CMNDELRN,72
CMN20TI,IEBCOPY,48
CMN20TI,SERCOPY,51
CMN20TI,CMNDELRN,147
CMN20TI,CMNDELRN,166
CMN21,CMNDB2PL,275
CMN21,IKJEFT1A,434
CMN21,IDCAMS,466
CMN21,IKJEFT1A,491
CMN21,IKJEFT01,525
CMN21,IKJEFT01,539
CMN30,IEBGENER,22
CMN30,IEBGENER,36
CMN30,PAN#2,50
CMN30,PAN#1,58
CMN30,IEBGENER,68
CMN30,PAN#2,85
CMN30,IEBGENER,99
CMN30,PAN#2,116
CMN30,PAN#1,125
CMN30,IEBGENER,137
CMN30,IEBGENER,150
CMN30,IEBGENER,165
CMN30,IEBGENER,180
CMN30,IEBGENER,193
CMN30,SERCMPAR,259
CMN30,CMNPDELT,273
CMN30,IEBGENER,300
CMN30,AFOLIBR,313
CMN30,AFOLIBR,323
CMN30,IEBGENER,341
CMN30,AFOLIBR,354
CMN30,IEBCOPY,375
CMN30,IEBGENER,435
CMN30,AFOLIBR,458
CMN30,IEBGENER,477
CMN30,PAN#1,491
CMN30,PAN#2,496
CMN30,IEBGENER,504
CMN30,PAN#1,521
CMN30,CMNUPDAT,532
CMN30,AFOLIBR,576
CMN30,IEBGENER,598
CMN30,AFOLIBR,619
CMN30,IEFBR14,635
CMN30,CMNDB2TM,637
CMN30,CMNBATCH,653
CMN30CDT,IEBGENER,22
CMN30CDT,IEBGENER,42
CMN30CDT,IEBGENER,62
CMN30CDT,SERCMPAR,98
CMN30CDT,CMNPDELT,112
CMN30CDT,SY4020,149
CMN30CDT,SERCOPY,158
CMN30CPI,SY4020,6
CMN30CPI,SERCOPY,10
CMN30CPY,SY4020,5
CMN30DEL,SY4020,5
CMN30I,SY4020,8
CMN30I,IEFBR14,205
CMN30I,IEFBR14,209
CMN30I,CMNDB2TM,212
CMN30I,IEFBR14,216
CMN30I,SY4020,256
CMN30I,CH7100,315
CMN30I,SY4020,333
CMN30I,SY4020U,338
CMN30LIB,IEBGENER,31
CMN30LIB,IEBGENER,44
CMN30LIB,IEBGENER,61
CMN30LIB,AFOLIBR,74
CMN30LIB,AFOLIBR,84
CMN30LIB,IEBGENER,102
CMN30LIB,AFOLIBR,115
CMN30LIB,IEBGENER,185
CMN30LIB,AFOLIBR,213
CMN30LIB,AFOLIBR,228
CMN30LIB,IEBGENER,250
CMN30LIB,AFOLIBR,271
CMN30PAN,IEBGENER,7
CMN30PAN,IEBGENER,21
CMN30PAN,PAN#2,35
CMN30PAN,PAN#1,43
CMN30PAN,IEBGENER,53
CMN30PAN,PAN#2,70
CMN30PAN,IEBGENER,85
CMN30PAN,PAN#2,102
CMN30PAN,PAN#1,111
CMN30PAN,IEBGENER,126
CMN30PAN,PAN#1,140
CMN30PAN,PAN#2,145
CMN30PAN,IEBGENER,153
CMN30PAN,PAN#1,170
CMN30PDS,IEBGENER,22
CMN30PDS,IEBGENER,42
CMN30PDS,IEBGENER,62
CMN30PDS,SY4020,117
CMN30PDS,SERCOPY,122
CMN30REN,CMNDELRN,5
CMN30SRD,IEBGENER,24
CMN30SRD,SY4020,93
CMN31T,CMNDELRN,13
CMN31T,CMNDELRN,32
CMN31TI,CMNDELRN,13
CMN31TI,CMNDELRN,28
CMN32,CMNDB2PL,89
CMN32,IKJEFT1A,232
CMN32,IDCAMS,264
CMN32,IKJEFT1A,313
CMN37,IEFBR14,16
CMN37,CMNDB2TM,19
CMN37,SY4020,33
CMN49,IEBCOPY,45
CMN49,CMNDB2PL,136
